Date,UserName,Komentar,Like
2025-06-16T14:51:42Z,@masdahlanwahid,Dulu adiknya sekarang kakaknya yang merasakan jadi runner-up 2 kali,2
2025-06-16T14:42:13Z,@ImanuelFabianmalla,Ngantuk nonton nya🥱,0
2025-06-16T14:41:13Z,@KedirKano,This gave me chills… ini the best way,0
2025-06-16T14:40:53Z,@hilmanalfazri8344,"REQ MIN BUAT RRQ, DI AJANG INTERNASIONAL TOLONG JADI BADUT LAGI<br>UDAH FOLLOW",0
2025-06-16T14:37:17Z,@userTank215,Dimatch ini. Jungler RRQ beban tim,0
2025-06-16T14:33:25Z,@reynalditesiman5317,Kelemahan RRQ dua kata saja: Game 7,0
2025-06-16T14:31:31Z,@CelehRochfh,I ve had this on repeat all day,0
2025-06-16T14:20:06Z,@wahyudi30975,Skornya kok mirip Barcelona vs inter milan 😂,0
2025-06-16T14:10:20Z,@tuhirinboeret7753,"Kelemahan dari tim RRQ cuma di grand final,selain itu dia selalu menang",0
2025-06-16T14:10:11Z,@valentinaanggriyani4742,Congratulation guyss 🥰🥰🥰🥰🥰❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥,0
2025-06-16T14:07:37Z,@RezaTuasamu,Duta runner-up,0
2025-06-16T13:57:07Z,@Lutpi2233,Gimana sih rrq ini,0
2025-06-16T14:03:49Z,@RizkyRamadhansayudi,Toy bilangin sana bang maen hero lain,0
2025-06-16T13:52:35Z,@ekomulyana2270,Tunggu balasan tahun depan Lo kiboy dan kairi yang sombong nanti RRQ bangkit,0
2025-06-16T16:00:32Z,@RizkyRamadhansayudi,kayak bocil njirrrr ketikan nya😮😮😮😮😂😂😂😂😂,0
2025-06-16T16:00:49Z,@RizkyRamadhansayudi,Kerja aja bg😂😂😂,0
2025-06-16T13:44:02Z,@rmdy7,Masih selamat engga ada kebisingan,0
2025-06-16T13:36:18Z,@raline5596,brooo mpl udah sampai season 15 dan 7 season nya yang menang onic 💀🐐 G.O.A.T,0
2025-06-16T16:04:28Z,@RizkyRamadhansayudi,Goat onic 🐐🐐🐐🐐,0
2025-06-16T13:23:28Z,@Gohan_channnel,Si toylol gak bikin gaya nembak lagi ? Ampas,0
2025-06-16T16:05:15Z,@RizkyRamadhansayudi,"Maen sono, jangan ngetik doang, kan lu bisa nya komen doang, gue sonic ya bukan kingdom",0
2025-06-16T13:19:43Z,@WahyuAlda-cu6cg,Toy gerengger terus,0
2025-06-16T13:09:41Z,@Zukatekita5635,GG ONIC,0
2025-06-16T12:52:59Z,@kiosawwan,aku makin cinta coach ADI,0
2025-06-16T12:33:55Z,@anjhoxganteng,Ppq ayam😂,0
2025-06-16T12:21:50Z,@SorongKabupaten-m2t,bosan liat rrq nt di akhir Mulu dari jaman dulu,0
2025-06-16T12:19:22Z,@spellonpoint,Gue seneng pas momment kiboy langsung peluk savero. Karena kiboy dan tim pengen penuhi cita² savero yang pengen juara mpl s15 ini. ❤,0
2025-06-16T12:17:06Z,@yuriieblackjoker4932,raja 😂,0
